PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:34:34,855

Sample #,Voltage (V),Current(A)
  369, 113.158, -0.03061
  370, 105.941, -0.02973
  371, 98.913, -0.02876
  372, 92.071, -0.02830
  373, 85.268, -0.02877
  374, 78.293, -0.02995
  375, 70.991, -0.03130
  376, 63.324, -0.03239
  377, 55.327, -0.03319
  378, 47.042, -0.03407
  379, 38.466, -0.03531
  380, 29.581, -0.03697
  381, 20.410, -0.03857
  382, 11.050, -0.03960
  383, 1.635, -0.03979
  384, -7.722, -0.03931
  385, -16.954, -0.03857
  386, -26.016, -0.03780
  387, -34.846, -0.03697
  388, -43.367, -0.03591
  389, -51.535, -0.03455
  390, -59.341, -0.03301
  391, -66.796, -0.03138
  392, -73.888, -0.02974
  393, -80.615, -0.02815
  394, -87.043, -0.02690
  395, -93.321, -0.02622
  396, -99.615, -0.02619
  397, -106.021, -0.02661
  398, -112.535, -0.02711
  399, -119.100, -0.02756
  400, -125.664, -0.02772
  401, -132.202, -0.02754
  402, -138.691, -0.02697
  403, -145.109, -0.02630
  404, -151.445, -0.02611
  405, -157.723, -0.02645
  406, -163.979, -0.02696
  407, -170.220, -0.02694
  408, -176.417, -0.02619
  409, -182.545, -0.02540
  410, -188.635, -0.02515
  411, -194.767, -0.02566
  412, -201.008, -0.02630
  413, -207.335, -0.02644
  414, -213.650, -0.02617
  415, -219.871, -0.02582
  416, -226.020, -0.02584
  417, -232.215, -0.02627
  418, -238.568, -0.02681
  419, -245.061, -0.02707
  420, -251.540, -0.02678
  421, -257.814, -0.02592
  422, -263.798, -0.02483
  423, -269.558, -0.02401
  424, -275.241, -0.02375
  425, -280.912, -0.02366
  426, -286.459, -0.02302
  427, -291.634, -0.02140
  428, -296.176, -0.01879
  429, -299.940, -0.01577
  430, -302.940, -0.01290
  431, -305.295, -0.01050
  432, -307.173, -0.00874
  433, -308.748, -0.00756
  434, -310.173, -0.00682
  435, -311.545, -0.00630
  436, -312.898, -0.00584
  437, -314.215, -0.00552
  438, -315.464, -0.00523
  439, -316.606, -0.00499
  440, -317.601, -0.00477
  441, -318.409, -0.00453
  442, -319.019, -0.00413
  443, -319.458, -0.00331
  444, -319.758, -0.00210
  445, -319.916, -0.00106
  446, -319.896, -0.00063
  447, -319.681, -0.00065
  448, -319.309, -0.00046
  449, -318.866, 0.00001
  450, -318.423, -0.00106
  451, -317.998, -0.00770
  452, -317.566, -0.02428
  453, -317.096, -0.05253
  454, -316.591, -0.08856
  455, -316.074, -0.12281
  456, -315.572, -0.14447
  457, -315.084, -0.14891
  458, -314.583, -0.14124
  459, -314.043, -0.13193
  460, -313.474, -0.12715
  461, -312.919, -0.12266
  462, -312.389, -0.10839
  463, -311.821, -0.07945
  464, -311.063, -0.04241
  465, -309.936, -0.01030
  466, -308.290, 0.00818
  467, -306.005, 0.01422
  468, -302.969, 0.01521
  469, -299.089, 0.01742
  470, -294.332, 0.02193
  471, -288.762, 0.02687
  472, -282.517, 0.03041
  473, -275.757, 0.03196
  474, -268.655, 0.03178
  475, -261.392, 0.03066
  476, -254.149, 0.02995
  477, -247.043, 0.03042
  478, -240.098, 0.03142
  479, -233.273, 0.03146
  480, -226.532, 0.03008
  481, -219.887, 0.02849
  482, -213.371, 0.02807
  483, -206.983, 0.02856
  484, -200.684, 0.02849
  485, -194.424, 0.02727
  486, -188.173, 0.02607
  487, -181.907, 0.02645
  488, -175.586, 0.02813
  489, -169.147, 0.02953
  490, -162.540, 0.02957
  491, -155.757, 0.02897
  492, -148.831, 0.02919
  493, -141.790, 0.03051
  494, -134.644, 0.03173
  495, -127.388, 0.03175
  496, -120.051, 0.03091
  497, -112.720, 0.03049
  498, -105.506, 0.03090
  499, -98.474, 0.03136
  500, -91.591, 0.03099
  501, -84.732, 0.03011
  502, -77.737, 0.03016
  503, -70.476, 0.03194
  504, -62.887, 0.03468
  505, -54.971, 0.03677
  506, -46.753, 0.03732
  507, -38.245, 0.03704
  508, -29.444, 0.03735
  509, -20.361, 0.03887
  510, -11.071, 0.04085
  511, -1.702, 0.04187
  512, 7.611, 0.04114
  513, 16.776, 0.03925
  514, 25.748, 0.03748
  515, 34.488, 0.03676
  516, 42.957, 0.03695
  517, 51.118, 0.03688
  518, 58.953, 0.03552
  519, 66.440, 0.03291
  520, 73.556, 0.03024
  521, 80.299, 0.02884
  522, 86.750, 0.02892
  523, 93.069, 0.02939
  524, 99.434, 0.02920
  525, 105.931, 0.02836
  526, 112.528, 0.02794
  527, 119.125, 0.02858
  528, 125.647, 0.02955
  529, 132.084, 0.02956
  530, 138.474, 0.02832
  531, 144.857, 0.02701
  532, 151.234, 0.02700
  533, 157.592, 0.02822
  534, 163.915, 0.02915
  535, 170.192, 0.02861
  536, 176.418, 0.02711
  537, 182.595, 0.02633
  538, 188.737, 0.02716
  539, 194.893, 0.02869
  540, 201.112, 0.02934
  541, 207.412, 0.02862
  542, 213.755, 0.02765
  543, 220.081, 0.02763
  544, 226.369, 0.02840
  545, 232.656, 0.02877
  546, 239.000, 0.02806
  547, 245.412, 0.02708
  548, 251.809, 0.02682
  549, 258.069, 0.02723
  550, 264.118, 0.02724
  551, 269.995, 0.02627
  552, 275.799, 0.02499
  553, 281.576, 0.02437
  554, 287.207, 0.02421
  555, 292.444, 0.02327
  556, 297.014, 0.02058
  557, 300.767, 0.01664
  558, 303.711, 0.01297
  559, 305.979, 0.01058
  560, 307.750, 0.00940
  561, 309.207, 0.00880
  562, 310.506, 0.00833
  563, 311.753, 0.00793
  564, 313.000, 0.00757
  565, 314.251, 0.00722
  566, 315.474, 0.00688
  567, 316.613, 0.00650
  568, 317.593, 0.00578
  569, 318.356, 0.00461
  570, 318.907, 0.00331
  571, 319.302, 0.00257
  572, 319.596, 0.00255
  573, 319.781, 0.00253
  574, 319.792, 0.00179
  575, 319.588, 0.00078
  576, 319.203, 0.00072
  577, 318.733, 0.00221
  578, 318.266, 0.00552
  579, 317.822, 0.01269
  580, 317.378, 0.02865
  581, 316.905, 0.05711
  582, 316.399, 0.09468
  583, 315.872, 0.12998
  584, 315.343, 0.15108
  585, 314.821, 0.15515
  586, 314.311, 0.14995
  587, 313.801, 0.14474
