PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:32:36,925

Sample #,Voltage (V),Current(A)
  448, -318.741, -0.00126
  449, -318.462, -0.00161
  450, -318.101, -0.00019
  451, -317.704, 0.00239
  452, -317.294, 0.00208
  453, -316.875, -0.00637
  454, -316.441, -0.02515
  455, -315.980, -0.05122
  456, -315.489, -0.07891
  457, -314.982, -0.10425
  458, -314.478, -0.12588
  459, -313.984, -0.14197
  460, -313.481, -0.14743
  461, -312.941, -0.13653
  462, -312.351, -0.10858
  463, -311.700, -0.07072
  464, -310.922, -0.03463
  465, -309.856, -0.00919
  466, -308.247, 0.00415
  467, -305.835, 0.01001
  468, -302.461, 0.01408
  469, -298.128, 0.01880
  470, -292.980, 0.02327
  471, -287.218, 0.02570
  472, -281.012, 0.02606
  473, -274.473, 0.02610
  474, -267.686, 0.02710
  475, -260.752, 0.02859
  476, -253.803, 0.02922
  477, -246.943, 0.02850
  478, -240.199, 0.02749
  479, -233.526, 0.02744
  480, -226.864, 0.02801
  481, -220.199, 0.02806
  482, -213.573, 0.02723
  483, -207.039, 0.02650
  484, -200.625, 0.02680
  485, -194.321, 0.02752
  486, -188.088, 0.02743
  487, -181.862, 0.02632
  488, -175.564, 0.02549
  489, -169.125, 0.02623
  490, -162.526, 0.02796
  491, -155.790, 0.02901
  492, -148.944, 0.02867
  493, -141.978, 0.02801
  494, -134.863, 0.02859
  495, -127.602, 0.03037
  496, -120.268, 0.03168
  497, -112.972, 0.03119
  498, -105.799, 0.02945
  499, -98.772, 0.02830
  500, -91.842, 0.02876
  501, -84.923, 0.03018
  502, -77.909, 0.03121
  503, -70.677, 0.03140
  504, -63.134, 0.03167
  505, -55.240, 0.03301
  506, -47.018, 0.03528
  507, -38.493, 0.03736
  508, -29.662, 0.03824
  509, -20.521, 0.03791
  510, -11.141, 0.03729
  511, -1.682, 0.03722
  512, 7.681, 0.03782
  513, 16.849, 0.03839
  514, 25.814, 0.03796
  515, 34.575, 0.03627
  516, 43.085, 0.03414
  517, 51.268, 0.03286
  518, 59.098, 0.03296
  519, 66.594, 0.03337
  520, 73.783, 0.03249
  521, 80.660, 0.02978
  522, 87.241, 0.02673
  523, 93.624, 0.02555
  524, 99.977, 0.02682
  525, 106.433, 0.02883
  526, 113.010, 0.02945
  527, 119.633, 0.02820
  528, 126.207, 0.02664
  529, 132.695, 0.02643
  530, 139.104, 0.02740
  531, 145.453, 0.02800
  532, 151.753, 0.02742
  533, 158.007, 0.02645
  534, 164.242, 0.02644
  535, 170.475, 0.02744
  536, 176.720, 0.02814
  537, 182.969, 0.02754
  538, 189.216, 0.02623
  539, 195.463, 0.02565
  540, 201.719, 0.02634
  541, 207.983, 0.02721
  542, 214.240, 0.02705
  543, 220.475, 0.02598
  544, 226.701, 0.02545
  545, 232.973, 0.02634
  546, 239.337, 0.02781
  547, 245.772, 0.02823
  548, 252.176, 0.02708
  549, 258.435, 0.02559
  550, 264.514, 0.02523
  551, 270.481, 0.02592
  552, 276.408, 0.02617
  553, 282.237, 0.02470
  554, 287.747, 0.02188
  555, 292.665, 0.01897
  556, 296.817, 0.01680
  557, 300.197, 0.01491
  558, 302.897, 0.01253
  559, 305.023, 0.00971
  560, 306.683, 0.00748
  561, 308.033, 0.00658
  562, 309.274, 0.00676
  563, 310.568, 0.00711
  564, 311.935, 0.00694
  565, 313.268, 0.00634
  566, 314.436, 0.00579
  567, 315.390, 0.00549
  568, 316.172, 0.00505
  569, 316.853, 0.00406
  570, 317.475, 0.00280
  571, 318.040, 0.00199
  572, 318.518, 0.00171
  573, 318.864, 0.00150
  574, 319.033, 0.00090
  575, 319.006, 0.00046
  576, 318.809, 0.00095
  577, 318.499, 0.00172
  578, 318.131, 0.00071
  579, 317.740, -0.00218
  580, 317.337, -0.00201
  581, 316.927, 0.00967
  582, 316.508, 0.03799
  583, 316.071, 0.07888
  584, 315.602, 0.12049
  585, 315.099, 0.15157
  586, 314.575, 0.16779
  587, 314.056, 0.17080
  588, 313.558, 0.16224
  589, 313.069, 0.14102
  590, 312.544, 0.10689
  591, 311.891, 0.06548
  592, 310.983, 0.02730
  593, 309.653, 0.00138
  594, 307.723, -0.01075
  595, 305.042, -0.01454
  596, 301.529, -0.01654
  597, 297.209, -0.01983
  598, 292.192, -0.02352
  599, 286.615, -0.02606
  600, 280.581, -0.02734
  601, 274.147, -0.02825
  602, 267.362, -0.02958
  603, 260.315, -0.03117
  604, 253.142, -0.03217
  605, 245.988, -0.03213
  606, 238.952, -0.03122
  607, 232.067, -0.03013
  608, 225.315, -0.02958
  609, 218.660, -0.02966
  610, 212.081, -0.02987
  611, 205.585, -0.02946
  612, 199.201, -0.02825
  613, 192.953, -0.02689
  614, 186.822, -0.02617
  615, 180.737, -0.02645
  616, 174.591, -0.02730
  617, 168.287, -0.02811
  618, 161.785, -0.02876
  619, 155.096, -0.02937
  620, 148.270, -0.03016
  621, 141.343, -0.03101
  622, 134.326, -0.03156
  623, 127.211, -0.03178
  624, 120.005, -0.03165
  625, 112.758, -0.03140
  626, 105.561, -0.03103
  627, 98.492, -0.03051
  628, 91.560, -0.03011
  629, 84.671, -0.03023
  630, 77.662, -0.03123
  631, 70.387, -0.03295
  632, 62.788, -0.03474
  633, 54.896, -0.03600
  634, 46.763, -0.03666
  635, 38.392, -0.03718
  636, 29.733, -0.03801
  637, 20.763, -0.03900
  638, 11.558, -0.03955
  639, 2.278, -0.03929
  640, -6.928, -0.03848
  641, -15.978, -0.03775
  642, -24.847, -0.03732
  643, -33.499, -0.03686
  644, -41.880, -0.03595
  645, -49.968, -0.03463
  646, -57.788, -0.03330
  647, -65.364, -0.03225
  648, -72.661, -0.03132
  649, -79.608, -0.03023
  650, -86.214, -0.02901
  651, -92.623, -0.02810
  652, -99.037, -0.02780
  653, -105.578, -0.02801
  654, -112.220, -0.02830
  655, -118.860, -0.02832
  656, -125.427, -0.02823
  657, -131.914, -0.02822
  658, -138.352, -0.02839
  659, -144.756, -0.02843
  660, -151.130, -0.02802
  661, -157.475, -0.02739
  662, -163.789, -0.02688
  663, -170.051, -0.02694
  664, -176.242, -0.02748
  665, -182.374, -0.02803
  666, -188.498, -0.02834
  667, -194.674, -0.02832
  668, -200.923, -0.02818
  669, -207.228, -0.02808
  670, -213.543, -0.02783
  671, -219.836, -0.02752
  672, -226.108, -0.02729
  673, -232.388, -0.02729
  674, -238.713, -0.02756
  675, -245.078, -0.02775
  676, -251.415, -0.02758
  677, -257.627, -0.02704
  678, -263.673, -0.02650
  679, -269.612, -0.02627
  680, -275.530, -0.02623
  681, -281.404, -0.02593
  682, -287.038, -0.02480
  683, -292.136, -0.02254
  684, -296.473, -0.01943
  685, -299.977, -0.01598
  686, -302.727, -0.01278
  687, -304.859, -0.01027
  688, -306.530, -0.00860
  689, -307.910, -0.00767
  690, -309.167, -0.00722
  691, -310.413, -0.00697
  692, -311.674, -0.00675
  693, -312.905, -0.00644
  694, -314.052, -0.00610
  695, -315.091, -0.00573
  696, -316.017, -0.00529
  697, -316.821, -0.00471
  698, -317.493, -0.00405
  699, -318.039, -0.00378
  700, -318.479, -0.00401
  701, -318.818, -0.00405
  702, -319.028, -0.00301
  703, -319.068, -0.00114
  704, -318.917, -0.00000
  705, -318.613, -0.00090
  706, -318.220, -0.00270
  707, -317.792, -0.00328
  708, -317.351, -0.00394
  709, -316.900, -0.01130
  710, -316.440, -0.03293
  711, -315.982, -0.06938
  712, -315.528, -0.11090
  713, -315.064, -0.14323
  714, -314.568, -0.15757
  715, -314.035, -0.15475
  716, -313.476, -0.14047
  717, -312.910, -0.11859
  718, -312.329, -0.08997
  719, -311.683, -0.05667
  720, -310.855, -0.02499
  721, -309.664, -0.00231
  722, -307.888, 0.00872
  723, -305.329, 0.01208
  724, -301.866, 0.01417
  725, -297.490, 0.01823
  726, -292.290, 0.02314
  727, -286.416, 0.02628
  728, -280.044, 0.02718
  729, -273.347, 0.02748
  730, -266.473, 0.02846
  731, -259.524, 0.02974
  732, -252.562, 0.03002
  733, -245.634, 0.02899
  734, -238.793, 0.02776
  735, -232.086, 0.02742
  736, -225.536, 0.02762
  737, -219.121, 0.02743
  738, -212.790, 0.02656
  739, -206.495, 0.02597
  740, -200.215, 0.02645
  741, -193.970, 0.02725
  742, -187.785, 0.02705
  743, -181.655, 0.02571
  744, -175.506, 0.02477
  745, -169.212, 0.02572
  746, -162.675, 0.02805
  747, -155.899, 0.02977
  748, -148.981, 0.02968
  749, -142.031, 0.02866
  750, -135.058, 0.02859
  751, -127.981, 0.02993
  752, -120.733, 0.03127
  753, -113.369, 0.03105
  754, -106.055, 0.02946
  755, -98.939, 0.02820
  756, -92.040, 0.02846
  757, -85.223, 0.02988
  758, -78.291, 0.03112
  759, -71.087, 0.03157
  760, -63.554, 0.03187
  761, -55.705, 0.03294
  762, -47.577, 0.03481
  763, -39.172, 0.03670
  764, -30.463, 0.03773
  765, -21.439, 0.03784
  766, -12.165, 0.03767
  767, -2.781, 0.03792
  768, 6.558, 0.03865
  769, 15.745, 0.03922
  770, 24.736, 0.03877
  771, 33.513, 0.03716
  772, 42.055, 0.03518
  773, 50.331, 0.03399
  774, 58.314, 0.03388
  775, 65.964, 0.03373
  776, 73.229, 0.03214
  777, 80.086, 0.02897
  778, 86.593, 0.02589
  779, 92.924, 0.02490
  780, 99.282, 0.02632
  781, 105.785, 0.02835
  782, 112.415, 0.02897
  783, 119.073, 0.02778
  784, 125.678, 0.02631
  785, 132.209, 0.02612
  786, 138.678, 0.02700
  787, 145.072, 0.02754
  788, 151.367, 0.02689
  789, 157.562, 0.02569
  790, 163.698, 0.02524
  791, 169.822, 0.02581
  792, 175.953, 0.02649
  793, 182.088, 0.02642
  794, 188.239, 0.02598
  795, 194.446, 0.02616
  796, 200.734, 0.02707
  797, 207.069, 0.02766
  798, 213.375, 0.02701
  799, 219.607, 0.02554
  800, 225.802, 0.02489
  801, 232.043, 0.02581
  802, 238.379, 0.02741
  803, 244.774, 0.02805
  804, 251.126, 0.02725
  805, 257.347, 0.02599
  806, 263.421, 0.02537
  807, 269.391, 0.02531
  808, 275.297, 0.02504
  809, 281.096, 0.02397
  810, 286.630, 0.02237
  811, 291.664, 0.02053
  812, 295.975, 0.01831
  813, 299.452, 0.01534
  814, 302.134, 0.01181
  815, 304.175, 0.00864
  816, 305.778, 0.00664
  817, 307.135, 0.00587
  818, 308.395, 0.00588
  819, 309.661, 0.00632
  820, 310.968, 0.00681
  821, 312.286, 0.00699
  822, 313.536, 0.00651
  823, 314.642, 0.00540
  824, 315.568, 0.00411
  825, 316.337, 0.00320
  826, 316.992, 0.00278
  827, 317.559, 0.00259
  828, 318.024, 0.00228
  829, 318.351, 0.00178
  830, 318.520, 0.00112
  831, 318.535, 0.00056
  832, 318.420, 0.00029
  833, 318.198, 0.00020
  834, 317.888, -0.00038
  835, 317.508, -0.00170
  836, 317.089, -0.00215
  837, 316.657, 0.00220
  838, 316.224, 0.01558
  839, 315.788, 0.03949
  840, 315.340, 0.07080
  841, 314.878, 0.10352
  842, 314.400, 0.13137
  843, 313.898, 0.14909
  844, 313.360, 0.15242
  845, 312.789, 0.13863
  846, 312.196, 0.10896
  847, 311.564, 0.07034
  848, 310.800, 0.03331
  849, 309.722, 0.00662
  850, 308.102, -0.00735
  851, 305.742, -0.01271
  852, 302.532, -0.01533
  853, 298.448, -0.01865
  854, 293.528, -0.02277
  855, 287.856, -0.02634
  856, 281.570, -0.02863
  857, 274.855, -0.02981
  858, 267.914, -0.03030
  859, 260.903, -0.03041
  860, 253.899, -0.03020
  861, 246.935, -0.02991
  862, 240.041, -0.02970
  863, 233.270, -0.02945
  864, 226.652, -0.02905
  865, 220.155, -0.02848
  866, 213.714, -0.02782
  867, 207.293, -0.02711
  868, 200.925, -0.02631
  869, 194.658, -0.02555
  870, 188.482, -0.02511
  871, 182.311, -0.02531
  872, 176.047, -0.02619
  873, 169.625, -0.02726
  874, 163.029, -0.02816
  875, 156.259, -0.02873
  876, 149.323, -0.02909
  877, 142.245, -0.02959
  878, 135.067, -0.03017
  879, 127.828, -0.03077
  880, 120.555, -0.03119
  881, 113.274, -0.03124
  882, 106.043, -0.03093
  883, 98.916, -0.03029
  884, 91.914, -0.02969
  885, 84.971, -0.02950
  886, 77.953, -0.02991
  887, 70.720, -0.03090
  888, 63.181, -0.03208
  889, 55.327, -0.03322
  890, 47.190, -0.03436
  891, 38.787, -0.03568
  892, 30.089, -0.03720
  893, 21.067, -0.03865
  894, 11.765, -0.03960
  895, 2.326, -0.03993
  896, -7.079, -0.03982
  897, -16.328, -0.03945
  898, -25.375, -0.03879
  899, -34.192, -0.03764
  900, -42.737, -0.03601
  901, -50.968, -0.03429
  902, -58.871, -0.03286
  903, -66.455, -0.03169
  904, -73.709, -0.03045
  905, -80.615, -0.02908
  906, -87.214, -0.02801
  907, -93.639, -0.02773
  908, -100.072, -0.02820
  909, -106.610, -0.02863
  910, -113.228, -0.02843
  911, -119.818, -0.02755
  912, -126.304, -0.02663
  913, -132.680, -0.02632
  914, -139.003, -0.02657
  915, -145.309, -0.02704
  916, -151.598, -0.02717
  917, -157.832, -0.02683
  918, -163.968, -0.02619
  919, -169.994, -0.02549
  920, -175.944, -0.02516
  921, -181.892, -0.02525
  922, -187.917, -0.02566
  923, -194.062, -0.02615
  924, -200.312, -0.02633
  925, -206.606, -0.02629
  926, -212.879, -0.02614
  927, -219.112, -0.02608
  928, -225.340, -0.02630
  929, -231.622, -0.02675
  930, -237.991, -0.02731
  931, -244.411, -0.02766
  932, -250.792, -0.02748
  933, -257.039, -0.02671
  934, -263.121, -0.02566
  935, -269.068, -0.02499
  936, -274.922, -0.02492
  937, -280.642, -0.02498
  938, -286.068, -0.02427
  939, -290.980, -0.02196
  940, -295.212, -0.01827
  941, -298.722, -0.01432
  942, -301.562, -0.01120
  943, -303.802, -0.00941
  944, -305.520, -0.00858
  945, -306.861, -0.00811
  946, -308.049, -0.00771
  947, -309.308, -0.00739
  948, -310.708, -0.00715
  949, -312.130, -0.00677
  950, -313.392, -0.00603
  951, -314.413, -0.00515
  952, -315.263, -0.00441
  953, -316.048, -0.00404
  954, -316.801, -0.00402
  955, -317.461, -0.00392
  956, -317.963, -0.00336
  957, -318.295, -0.00237
  958, -318.477, -0.00124
  959, -318.513, -0.00054
  960, -318.392, -0.00032
  961, -318.133, -0.00010
  962, -317.794, 0.00070
  963, -317.440, 0.00190
  964, -317.089, 0.00159
  965, -316.712, -0.00415
  966, -316.277, -0.01983
  967, -315.791, -0.04766
  968, -315.293, -0.08481
  969, -314.812, -0.12318
  970, -314.348, -0.15253
  971, -313.874, -0.16583
  972, -313.367, -0.16177
  973, -312.830, -0.14353
  974, -312.274, -0.11553
  975, -311.675, -0.08177
  976, -310.938, -0.04692
  977, -309.881, -0.01684
  978, -308.263, 0.00351
  979, -305.840, 0.01337
  980, -302.448, 0.01682
  981, -298.059, 0.01909
  982, -292.784, 0.02256
  983, -286.827, 0.02623
  984, -280.399, 0.02845
  985, -273.675, 0.02926
  986, -266.776, 0.02981
