PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:30:30,450

Sample #,Voltage (V),Current(A)
  648, -75.074, -0.02990
  649, -81.672, -0.02944
  650, -88.046, -0.02911
  651, -94.338, -0.02880
  652, -100.695, -0.02854
  653, -107.179, -0.02844
  654, -113.744, -0.02856
  655, -120.310, -0.02870
  656, -126.826, -0.02865
  657, -133.303, -0.02812
  658, -139.757, -0.02721
  659, -146.176, -0.02634
  660, -152.537, -0.02586
  661, -158.841, -0.02596
  662, -165.120, -0.02622
  663, -171.405, -0.02634
  664, -177.692, -0.02628
  665, -183.954, -0.02618
  666, -190.178, -0.02628
  667, -196.380, -0.02640
  668, -202.595, -0.02637
  669, -208.835, -0.02628
  670, -215.084, -0.02621
  671, -221.308, -0.02639
  672, -227.500, -0.02675
  673, -233.684, -0.02705
  674, -239.901, -0.02722
  675, -246.157, -0.02716
  676, -252.395, -0.02674
  677, -258.519, -0.02591
  678, -264.459, -0.02488
  679, -270.234, -0.02407
  680, -275.918, -0.02363
  681, -281.540, -0.02331
  682, -286.992, -0.02245
  683, -292.039, -0.02058
  684, -296.418, -0.01790
  685, -299.968, -0.01489
  686, -302.684, -0.01195
  687, -304.701, -0.00941
  688, -306.239, -0.00744
  689, -307.533, -0.00630
  690, -308.773, -0.00608
  691, -310.061, -0.00643
  692, -311.400, -0.00679
  693, -312.723, -0.00672
  694, -313.954, -0.00624
  695, -315.050, -0.00561
  696, -316.017, -0.00500
  697, -316.878, -0.00443
  698, -317.637, -0.00376
  699, -318.254, -0.00301
  700, -318.664, -0.00228
  701, -318.816, -0.00127
  702, -318.714, -0.00005
  703, -318.420, 0.00076
  704, -318.020, 0.00054
  705, -317.590, -0.00053
  706, -317.173, -0.00118
  707, -316.785, -0.00135
  708, -316.413, -0.00447
  709, -316.028, -0.01615
  710, -315.593, -0.03888
  711, -315.101, -0.06850
  712, -314.582, -0.09635
  713, -314.068, -0.11635
  714, -313.568, -0.12901
  715, -313.067, -0.13768
  716, -312.558, -0.14145
  717, -312.047, -0.13353
  718, -311.511, -0.10829
  719, -310.832, -0.06924
  720, -309.822, -0.02887
  721, -308.291, -0.00020
  722, -306.121, 0.01249
  723, -303.262, 0.01462
  724, -299.694, 0.01475
  725, -295.404, 0.01760
  726, -290.417, 0.02232
  727, -284.821, 0.02606
  728, -278.749, 0.02765
  729, -272.330, 0.02832
  730, -265.672, 0.02950
  731, -258.868, 0.03090
  732, -252.006, 0.03122
  733, -245.155, 0.02978
  734, -238.349, 0.02770
  735, -231.598, 0.02677
  736, -224.913, 0.02724
  737, -218.312, 0.02781
  738, -211.817, 0.02713
  739, -205.430, 0.02554
  740, -199.138, 0.02459
  741, -192.912, 0.02511
  742, -186.707, 0.02627
  743, -180.464, 0.02693
  744, -174.115, 0.02703
  745, -167.607, 0.02751
  746, -160.913, 0.02885
  747, -154.034, 0.03018
  748, -146.996, 0.03042
  749, -139.837, 0.02963
  750, -132.594, 0.02904
  751, -125.296, 0.02960
  752, -117.971, 0.03070
  753, -110.672, 0.03093
  754, -103.471, 0.02969
  755, -96.431, 0.02805
  756, -89.537, 0.02761
  757, -82.686, 0.02882
  758, -75.713, 0.03069
  759, -68.487, 0.03178
  760, -60.956, 0.03186
  761, -53.144, 0.03203
  762, -45.074, 0.03342
  763, -36.709, 0.03602
  764, -27.979, 0.03860
  765, -18.872, 0.03979
  766, -9.493, 0.03944
  767, -0.027, 0.03857
  768, 9.361, 0.03837
  769, 18.591, 0.03898
  770, 27.630, 0.03924
  771, 36.425, 0.03802
  772, 44.883, 0.03542
  773, 52.923, 0.03288
  774, 60.529, 0.03172
  775, 67.746, 0.03172
  776, 74.626, 0.03138
  777, 81.224, 0.02979
  778, 87.621, 0.02767
  779, 93.947, 0.02672
  780, 100.336, 0.02763
  781, 106.839, 0.02906
  782, 113.409, 0.02923
  783, 119.948, 0.02781
  784, 126.404, 0.02628
  785, 132.804, 0.02626
  786, 139.211, 0.02753
  787, 145.663, 0.02843
  788, 152.138, 0.02784
  789, 158.590, 0.02639
  790, 164.984, 0.02564
  791, 171.318, 0.02625
  792, 177.619, 0.02725
  793, 183.907, 0.02737
  794, 190.198, 0.02658
  795, 196.498, 0.02611
  796, 202.799, 0.02681
  797, 209.080, 0.02800
  798, 215.316, 0.02835
  799, 221.499, 0.02739
  800, 227.664, 0.02635
  801, 233.872, 0.02656
  802, 240.168, 0.02790
  803, 246.529, 0.02888
  804, 252.862, 0.02835
  805, 259.067, 0.02668
  806, 265.105, 0.02521
  807, 271.017, 0.02467
  808, 276.858, 0.02468
  809, 282.599, 0.02432
  810, 288.079, 0.02305
  811, 293.079, 0.02086
  812, 297.399, 0.01792
  813, 300.930, 0.01449
  814, 303.653, 0.01106
  815, 305.632, 0.00834
  816, 307.040, 0.00683
  817, 308.152, 0.00637
  818, 309.268, 0.00639
  819, 310.576, 0.00654
  820, 312.046, 0.00657
  821, 313.496, 0.00641
  822, 314.738, 0.00597
  823, 315.728, 0.00521
  824, 316.548, 0.00429
  825, 317.301, 0.00340
  826, 317.986, 0.00248
  827, 318.508, 0.00155
  828, 318.772, 0.00062
  829, 318.775, -0.00031
  830, 318.604, -0.00084
  831, 318.354, -0.00061
  832, 318.066, -0.00002
  833, 317.728, -0.00031
  834, 317.336, -0.00181
  835, 316.920, -0.00127
  836, 316.510, 0.00819
  837, 316.102, 0.03250
  838, 315.661, 0.07015
  839, 315.171, 0.11096
  840, 314.656, 0.14304
  841, 314.143, 0.16150
  842, 313.641, 0.17001
  843, 313.134, 0.17363
  844, 312.625, 0.17057
  845, 312.132, 0.15363
  846, 311.632, 0.11917
  847, 311.010, 0.07394
  848, 310.080, 0.03199
  849, 308.660, 0.00434
  850, 306.638, -0.00791
  851, 303.953, -0.01156
  852, 300.562, -0.01394
  853, 296.416, -0.01792
  854, 291.509, -0.02246
  855, 285.918, -0.02603
  856, 279.790, -0.02821
  857, 273.277, -0.02958
  858, 266.502, -0.03048
  859, 259.561, -0.03090
  860, 252.550, -0.03104
  861, 245.570, -0.03084
  862, 238.690, -0.03026
  863, 231.929, -0.02935
  864, 225.258, -0.02831
  865, 218.655, -0.02771
  866, 212.129, -0.02790
  867, 205.715, -0.02863
  868, 199.430, -0.02916
  869, 193.238, -0.02889
  870, 187.057, -0.02802
  871, 180.796, -0.02723
  872, 174.396, -0.02717
  873, 167.840, -0.02797
  874, 161.131, -0.02902
  875, 154.273, -0.02989
  876, 147.268, -0.03048
  877, 140.129, -0.03096
  878, 132.885, -0.03160
  879, 125.573, -0.03215
  880, 118.232, -0.03238
